method,sequence,frames,mean_iou,success_auc,precision_20,mean_cle,invalid_pred_count,invalid_gt_count,valid_eval_frames
confidence_only,bike1,1029,0.19737352196047483,0.20358129107371375,0.2750242954324587,400.2015952486352,0,0,1029
confidence_only,bike2,185,0.0217001617001617,0.03136205512443125,0.06486486486486487,59555.24651777563,0,11,174
confidence_only,bike3,145,0.02912154782337338,0.03857972004096958,0.0896551724137931,157.5635988296872,0,0,145
confidence_only,boat1,301,0.8977692049397601,0.8938521759152659,0.9800664451827242,3.5862206541227377,0,0,301
confidence_only,boat2,267,0.5071355460761299,0.5089553899210144,0.5692883895131086,257.0663836720166,0,0,267
confidence_only,boat3,301,0.07394861596036777,0.0826617545475478,0.08305647840531562,769.2635710920592,0,0,301
confidence_only,boat4,185,0.8329020397842058,0.8299170457586307,0.9621621621621622,6.152821966708717,0,0,185
confidence_only,boat5,169,0.06990236796272961,0.07862206338977115,0.07100591715976332,537.3282536650272,0,0,169
confidence_only,boat6,269,0.7484639516663236,0.7460708896168431,0.9925650557620818,2.3073808564913043,0,0,269
confidence_only,boat7,179,0.9026938528460173,0.8987222744620831,0.994413407821229,3.1676690742097118,0,0,179
confidence_only,boat8,229,0.28672382584804884,0.2911496389813653,0.7336244541484717,16.60454122636759,0,0,229
confidence_only,boat9,467,0.4892500817924058,0.4910424661309813,0.6552462526766595,146.75377499056154,0,0,467
confidence_only,building1,157,0.02337726772075991,0.03285615185722405,0.03184713375796178,224.73256923288076,0,0,157
confidence_only,building2,193,0.1734030668856632,0.18006463858821148,0.22797927461139897,250.32959201575204,0,0,193
confidence_only,building3,277,0.008856610256084642,0.018622439861314677,0.01444043321299639,667.1407159861819,0,0,277
confidence_only,building4,263,0.1536698038224341,0.16093814704664364,0.22433460076045628,507.5857565254398,0,0,263
confidence_only,building5,161,0.04780232119468841,0.056392595781317334,0.09316770186335403,223.35900260759416,0,0,161
confidence_only,car10,469,0.8548218800341841,0.8515907027803,1.0,1.762133471912353,0,0,469
confidence_only,car11,113,0.033275553812698214,0.04249539998247611,0.07079646017699115,97504.93478405819,0,11,102
confidence_only,car12,167,0.008976917958953888,0.018734807612497767,0.017964071856287425,173948.98096769268,0,29,138
