frame,zoom_level,uncertainty,area,conf,lost,latency,command
105,4,0.315016,0.00355965,0.120658,0,0.016066,keep
106,4,0.284765,0.00357713,0.205293,0,0.016046,keep
107,4,0.386397,0.00231487,0.164102,0,0.016195,keep
108,4,0.220333,0.00240494,0.819709,0,0.016147,keep
109,4,0.108023,0.00257197,0.862754,0,0.015591,keep
110,4,0.117321,0.00261255,0.830897,0,0.016049,keep
111,4,0.141627,0.00217575,0.728279,0,0.015931,keep
112,4,0.125404,0.00177299,0.792115,0,0.015422,zoom_in_to_8
113,8,0.133632,0.00212519,0.849583,0,0.015409,keep
114,8,0.082895,0.00203159,0.840113,0,0.015967,keep
115,8,0.132381,0.00194923,0.767279,0,0.015327,keep
116,8,0.118077,0.00177622,0.711638,0,0.016015,keep
117,8,0.141612,0.00227193,0.867646,0,0.015762,keep
118,8,0.074165,0.00262560,0.876740,0,0.015171,keep
119,8,0.190876,0.00228918,0.750494,0,0.015549,keep
120,8,0.275205,0.00207785,0.346146,0,0.015393,keep
121,8,0.251472,0.00207025,0.545343,0,0.015644,keep
122,8,0.305101,0.00224252,0.409963,0,0.015382,keep
123,8,0.362488,0.00164994,0.147974,0,0.015717,keep
124,8,0.421152,0.00123794,0.313007,0,0.017100,keep
125,8,0.250150,0.00143331,0.569838,0,0.015650,keep
126,8,0.330396,0.00164184,0.257343,0,0.015376,keep
127,8,0.251979,0.00098430,0.479694,0,0.015144,keep
128,8,0.281203,0.00181226,0.797171,0,0.016075,keep
129,8,0.151110,0.00259554,0.843809,0,0.015746,keep
130,8,0.082435,0.00304489,0.896885,0,0.015115,zoom_out_to_4
131,4,0.098189,0.00282288,0.876285,0,0.015713,keep
132,4,0.087443,0.00268344,0.856204,0,0.015505,keep
133,4,0.096722,0.00278263,0.843700,0,0.016161,keep
134,4,0.109829,0.00239417,0.844289,0,0.016144,keep
135,4,0.083491,0.00246294,0.863844,0,0.016746,keep
136,4,0.076814,0.00266383,0.855301,0,0.016073,keep
137,4,0.077798,0.00262369,0.873321,0,0.016091,keep
138,4,0.066058,0.00271389,0.860039,0,0.015575,keep
139,4,0.081192,0.00284143,0.828405,0,0.015487,keep
140,4,0.067769,0.00290190,0.834114,0,0.015602,keep
141,4,0.069481,0.00277454,0.847899,0,0.015331,keep
142,4,0.068906,0.00286220,0.862159,0,0.016452,keep
143,4,0.066282,0.00295099,0.851360,0,0.015779,keep
144,4,0.071298,0.00298557,0.868167,0,0.015915,keep
145,4,0.088180,0.00292995,0.836331,0,0.015819,keep
146,4,0.074205,0.00289330,0.825614,0,0.015546,keep
147,4,0.103539,0.00271990,0.835800,0,0.015556,keep
148,4,0.094871,0.00254677,0.850531,0,0.017829,keep
149,4,0.116962,0.00245884,0.821600,0,0.017300,keep
150,4,0.090388,0.00240631,0.816589,0,0.016619,keep
151,4,0.111809,0.00251301,0.779974,0,0.016561,keep
152,4,0.122139,0.00254443,0.777148,0,0.016397,keep
153,4,0.101857,0.00256285,0.785555,0,0.016278,keep
154,4,0.116883,0.00274757,0.805871,0,0.017011,keep
155,4,0.095294,0.00280948,0.844062,0,0.017486,keep
156,4,0.118145,0.00325794,0.804389,0,0.016249,keep
157,4,0.077151,0.00343911,0.867579,0,0.015566,keep
158,4,0.079901,0.00338220,0.861268,0,0.015494,keep
159,4,0.075545,0.00308547,0.882943,0,0.015646,keep
160,4,0.092483,0.00352316,0.870972,0,0.016690,keep
161,4,0.093254,0.00363857,0.818239,0,0.015560,keep
162,4,0.115353,0.00335877,0.815929,0,0.015650,keep
163,4,0.095421,0.00329242,0.882082,0,0.016252,keep
164,4,0.097823,0.00295741,0.854954,0,0.015612,keep
165,4,0.064451,0.00279296,0.872919,0,0.015800,keep
166,4,0.079740,0.00292593,0.866443,0,0.015777,keep
167,4,0.074997,0.00290736,0.860462,0,0.015865,keep
168,4,0.104162,0.00310620,0.820879,0,0.015953,keep
169,4,0.080748,0.00333718,0.855314,0,0.015780,keep
170,4,0.119620,0.00385001,0.865777,0,0.016726,keep
171,4,0.090698,0.00442250,0.830995,0,0.016413,keep
172,4,0.114603,0.00408702,0.811165,0,0.015750,keep
173,4,0.083812,0.00432435,0.853324,0,0.015691,keep
174,4,0.058023,0.00424345,0.879215,0,0.015560,keep
175,4,0.077494,0.00409134,0.847145,0,0.015189,keep
176,4,0.069362,0.00417665,0.873422,0,0.015536,keep
177,4,0.061360,0.00432328,0.872904,0,0.016618,keep
178,4,0.051944,0.00458976,0.902065,0,0.015977,keep
179,4,0.061017,0.00444383,0.873898,0,0.016205,keep
180,4,0.068611,0.00472170,0.849503,0,0.016086,keep
181,4,0.071538,0.00455557,0.871389,0,0.015973,keep
