frame,zoom_level,uncertainty,area,conf,lost,latency,command
106,2,0.140247,0.02218580,0.883740,0,0.014723,keep
107,2,0.121019,0.02057034,0.711759,0,0.015446,keep
108,2,0.301460,0.01879476,0.173743,0,0.015371,keep
109,2,0.264782,0.02362353,0.397097,0,0.015535,keep
110,2,0.069039,0.02479666,0.853950,0,0.015473,keep
111,2,0.081578,0.02352007,0.838587,0,0.015621,keep
112,2,0.073676,0.02096505,0.884988,0,0.015314,keep
113,2,0.057648,0.02122627,0.897748,0,0.015318,keep
114,2,0.056050,0.02190562,0.902327,0,0.015463,keep
115,2,0.074055,0.02256436,0.820579,0,0.015377,keep
116,2,0.044512,0.02327904,0.909982,0,0.016170,keep
117,2,0.055668,0.02318779,0.885250,0,0.015552,keep
118,2,0.082294,0.02212481,0.857000,0,0.015785,keep
119,2,0.155336,0.02327767,0.580590,0,0.015427,keep
120,2,0.159271,0.02802827,0.637477,0,0.015126,keep
121,2,0.053929,0.02920114,0.889970,0,0.015034,keep
122,2,0.047389,0.02867717,0.896610,0,0.014876,keep
123,2,0.060899,0.02690451,0.891160,0,0.015015,keep
124,2,0.061942,0.02448624,0.903792,0,0.014842,keep
125,2,0.067892,0.02590402,0.881587,0,0.015038,keep
126,2,0.083892,0.02948510,0.856777,0,0.016020,keep
127,2,0.089027,0.02782169,0.894534,0,0.015566,keep
128,2,0.044306,0.02821846,0.897441,0,0.015241,keep
129,2,0.057053,0.02879274,0.873874,0,0.015386,keep
130,2,0.110406,0.02889852,0.752092,0,0.015112,keep
131,2,0.077001,0.03221326,0.836314,0,0.015117,keep
132,2,0.089293,0.03911251,0.836544,0,0.015304,keep
133,2,0.057134,0.04180661,0.887625,0,0.015131,keep
134,2,0.081495,0.03810354,0.884745,0,0.015034,keep
135,2,0.053072,0.03511843,0.904366,0,0.015249,keep
136,2,0.077409,0.03198158,0.877430,0,0.015640,keep
137,2,0.067290,0.03357619,0.890501,0,0.016211,keep
138,2,0.068164,0.03367630,0.881904,0,0.016900,keep
139,2,0.054181,0.03317415,0.897688,0,0.016517,keep
140,2,0.045417,0.03381113,0.892372,0,0.016081,keep
141,2,0.062907,0.03460293,0.857285,0,0.016247,keep
142,2,0.064202,0.03512825,0.886661,0,0.015847,keep
143,2,0.079047,0.03442669,0.847527,0,0.016362,keep
144,2,0.078151,0.03978520,0.883934,0,0.016130,keep
145,2,0.060411,0.04339517,0.884990,0,0.016003,keep
146,2,0.047390,0.04357824,0.908704,0,0.015619,keep
147,2,0.055180,0.04115652,0.906763,0,0.015639,keep
148,2,0.064998,0.03726910,0.899436,0,0.015242,keep
149,2,0.045634,0.03709422,0.905633,0,0.015339,keep
150,2,0.062316,0.04144333,0.897481,0,0.015066,keep
151,2,0.071247,0.04179444,0.859337,0,0.015291,keep
152,2,0.054261,0.04382846,0.868039,0,0.015223,keep
