frame,zoom_level,uncertainty,area,conf,lost,latency,command
92,2,0.285487,0.00073841,0.202390,0,0.017298,cooldown_keep
93,2,0.264212,0.00067124,0.300837,0,0.017063,cooldown_keep
94,2,0.230112,0.00061204,0.407016,0,0.017456,cooldown_keep
95,2,0.254546,0.00060404,0.352382,0,0.016982,cooldown_keep
96,2,0.251933,0.00072220,0.385793,0,0.017195,zoom_in_to_4
97,4,0.320758,0.00076960,0.425000,1,0.016738,zoom_out_to_2
98,2,0.253544,0.00077753,0.265446,0,0.016903,cooldown_keep
99,2,0.262405,0.00081785,0.268191,0,0.017366,cooldown_keep
100,2,0.270820,0.00081175,0.224739,0,0.017197,cooldown_keep
101,2,0.301634,0.00066761,0.191623,0,0.017048,cooldown_keep
102,2,0.312582,0.00055430,0.205814,0,0.017674,zoom_in_to_4
103,4,0.324734,0.00047598,0.425000,1,0.016497,zoom_out_to_2
104,2,0.341397,0.00077784,0.264844,0,0.017068,cooldown_keep
105,2,0.266871,0.00078743,0.246074,0,0.016830,cooldown_keep
106,2,0.249443,0.00082343,0.299418,0,0.016947,cooldown_keep
107,2,0.315496,0.00088470,0.145940,0,0.017447,cooldown_keep
108,2,0.246192,0.00091403,0.292983,0,0.016734,zoom_in_to_4
109,4,0.322612,0.00095574,0.425000,1,0.015939,zoom_out_to_2
110,2,0.305167,0.00071169,0.256766,0,0.016834,cooldown_keep
111,2,0.238634,0.00072051,0.343873,0,0.018001,cooldown_keep
112,2,0.278326,0.00077012,0.246995,0,0.018135,cooldown_keep
113,2,0.277287,0.00079445,0.233893,0,0.017501,cooldown_keep
114,2,0.300516,0.00071574,0.153867,0,0.017252,zoom_in_to_4
115,4,0.326229,0.00068543,0.425000,1,0.016792,zoom_out_to_2
116,2,0.319477,0.00062317,0.147349,0,0.017055,cooldown_keep
117,2,0.282124,0.00062810,0.238254,0,0.017009,cooldown_keep
118,2,0.313869,0.00073634,0.186545,0,0.017744,cooldown_keep
119,2,0.299280,0.00072133,0.150754,0,0.017119,cooldown_keep
120,2,0.297285,0.00074642,0.177774,0,0.017723,zoom_in_to_4
121,4,0.323208,0.00076662,0.425000,1,0.017553,zoom_out_to_2
122,2,0.320648,0.00062041,0.138965,0,0.017241,cooldown_keep
123,2,0.297622,0.00071405,0.200611,0,0.017042,cooldown_keep
124,2,0.309877,0.00082399,0.186768,0,0.017102,cooldown_keep
125,2,0.339112,0.00063276,0.135743,0,0.016855,cooldown_keep
126,2,0.327987,0.00057576,0.425000,1,0.016732,zoom_out_to_1
127,1,0.361794,0.00077365,0.103957,0,0.015354,cooldown_keep
128,1,0.297809,0.00077033,0.162869,0,0.015835,cooldown_keep
129,1,0.296858,0.00077689,0.196243,0,0.016194,cooldown_keep
130,1,0.298352,0.00090424,0.205684,0,0.015814,cooldown_keep
131,1,0.325054,0.00097810,0.425000,1,0.016440,keep
132,1,0.391394,0.00105477,0.361250,2,0.015889,keep
133,1,0.325917,0.00104715,0.186575,0,0.015787,zoom_in_to_2
134,2,0.363112,0.00060340,0.140451,0,0.016906,cooldown_keep
135,2,0.334926,0.00045032,0.425000,1,0.016652,zoom_out_to_1
136,1,0.430000,0.00084120,0.136169,0,0.015659,cooldown_keep
137,1,0.286850,0.00089591,0.197740,0,0.016060,cooldown_keep
138,1,0.291883,0.00094283,0.166783,0,0.016355,cooldown_keep
139,1,0.303254,0.00092342,0.177260,0,0.015889,cooldown_keep
140,1,0.304553,0.00092020,0.158331,0,0.016117,zoom_in_to_2
141,2,0.336720,0.00077107,0.128660,0,0.016628,cooldown_keep
142,2,0.319373,0.00070128,0.425000,1,0.016452,zoom_out_to_1
143,1,0.344110,0.00079027,0.190493,0,0.015504,cooldown_keep
144,1,0.313966,0.00079482,0.131442,0,0.015318,cooldown_keep
145,1,0.325392,0.00078940,0.425000,1,0.015496,keep
146,1,0.392373,0.00078193,0.361250,2,0.015532,keep
147,1,0.364880,0.00092115,0.109057,0,0.015851,zoom_in_to_2
148,2,0.324573,0.00096245,0.425000,1,0.016604,zoom_out_to_1
149,1,0.320621,0.00091661,0.127797,0,0.015728,cooldown_keep
150,1,0.323793,0.00092307,0.425000,1,0.015584,keep
151,1,0.313527,0.00076303,0.202957,0,0.015896,cooldown_keep
152,1,0.267761,0.00072430,0.256768,0,0.016232,cooldown_keep
153,1,0.314705,0.00075551,0.103608,0,0.015984,zoom_in_to_2
154,2,0.305658,0.00083723,0.146116,0,0.017148,cooldown_keep
155,2,0.329845,0.00069511,0.106096,0,0.016794,cooldown_keep
156,2,0.311315,0.00061760,0.129088,0,0.017430,cooldown_keep
157,2,0.339498,0.00072856,0.122345,0,0.017608,cooldown_keep
158,2,0.321706,0.00083735,0.101943,0,0.016788,zoom_in_to_4
159,4,0.415537,0.00054350,0.111189,0,0.016722,cooldown_keep
160,4,0.341544,0.00044453,0.425000,1,0.016064,zoom_out_to_2
161,2,0.432612,0.00077506,0.242754,0,0.016528,cooldown_keep
162,2,0.318644,0.00084587,0.425000,1,0.016840,zoom_out_to_1
163,1,0.343355,0.00077360,0.103528,0,0.016183,cooldown_keep
164,1,0.272778,0.00072379,0.249065,0,0.016056,cooldown_keep
165,1,0.302394,0.00076429,0.201185,0,0.016051,cooldown_keep
166,1,0.276436,0.00074479,0.208086,0,0.016061,cooldown_keep
167,1,0.295011,0.00081892,0.202468,0,0.015808,zoom_in_to_2
168,2,0.321115,0.00085458,0.425000,1,0.017678,zoom_out_to_1
169,1,0.387799,0.00089099,0.361250,2,0.015989,keep
170,1,0.422033,0.00092816,0.307062,3,0.015682,keep
171,1,0.605402,0.00377511,0.108480,0,0.016038,cooldown_keep
172,1,0.333582,0.00489338,0.425000,1,0.015530,keep
173,1,0.579261,0.02881370,0.284308,0,0.016241,zoom_in_to_2
174,2,0.363179,0.03541999,0.113413,0,0.017391,keep
175,2,0.341815,0.04844740,0.425000,1,0.017143,zoom_out_to_1
176,1,0.415943,0.03169087,0.113365,0,0.016171,cooldown_keep
177,1,0.304395,0.03434597,0.152079,0,0.015513,keep
178,1,0.516447,0.14116550,0.333417,0,0.015236,keep
179,1,0.218901,0.18771468,0.470916,0,0.015667,keep
180,1,0.170617,0.19549286,0.628412,0,0.015349,keep
181,1,0.167162,0.19200782,0.604118,0,0.015579,keep
182,1,0.139552,0.18592893,0.634940,0,0.016006,keep
183,1,0.144092,0.18283511,0.592269,0,0.015571,keep
184,1,0.168820,0.18177562,0.486751,0,0.015524,keep
185,1,0.194156,0.17773105,0.408703,0,0.015927,keep
186,1,0.233005,0.18005511,0.285605,0,0.015610,keep
187,1,0.239091,0.18420868,0.267553,0,0.016032,keep
188,1,0.186413,0.18267494,0.428143,0,0.017311,keep
189,1,0.213039,0.18399559,0.345958,0,0.015824,keep
190,1,0.183948,0.18389144,0.432911,0,0.016040,keep
191,1,0.195525,0.18392235,0.398986,0,0.016439,keep
192,1,0.171176,0.18892872,0.484367,0,0.016479,keep
193,1,0.215548,0.19311147,0.337721,0,0.016501,keep
194,1,0.198909,0.18911207,0.405618,0,0.015815,keep
195,1,0.236016,0.18661809,0.285829,0,0.015435,keep
196,1,0.243790,0.18464907,0.261286,0,0.015973,keep
197,1,0.278560,0.19818330,0.194253,0,0.015193,keep
198,1,0.233909,0.20188337,0.322497,0,0.015509,keep
199,1,0.235960,0.19587952,0.299197,0,0.015840,keep
200,1,0.233232,0.18957306,0.298387,0,0.015649,keep
201,1,0.187354,0.19202982,0.434402,0,0.015911,keep
202,1,0.165068,0.20528973,0.544267,0,0.015909,keep
