frame,zoom_level,uncertainty,area,conf,lost,latency,command
106,2,0.325387,0.01344953,0.146587,0,0.015126,keep
107,2,0.325737,0.01160155,0.425000,1,0.015565,zoom_out_to_1
108,1,0.430606,0.02324686,0.125732,0,0.014218,cooldown_keep
109,1,0.399117,0.01209923,0.104935,0,0.014435,cooldown_keep
110,1,0.325379,0.00925343,0.425000,1,0.014413,keep
111,1,0.519272,0.02398630,0.177059,0,0.014345,cooldown_keep
112,1,0.236650,0.01269174,0.850235,0,0.014417,zoom_in_to_2
113,2,0.086355,0.00940770,0.909050,0,0.016066,keep
114,2,0.107966,0.00859341,0.894638,0,0.015916,keep
115,2,0.093040,0.00830628,0.917854,0,0.015317,cooldown_keep
116,2,0.071353,0.00827824,0.902329,0,0.016001,cooldown_keep
117,2,0.064684,0.00792963,0.895717,0,0.015571,zoom_in_to_4
118,4,0.048814,0.00759179,0.925347,0,0.015075,keep
119,4,0.047315,0.00734324,0.917496,0,0.015332,keep
120,4,0.044947,0.00701521,0.916150,0,0.014649,keep
121,4,0.043239,0.00689086,0.914466,0,0.014785,keep
122,4,0.056143,0.00643513,0.920943,0,0.014981,keep
123,4,0.043958,0.00614331,0.917530,0,0.014611,keep
124,4,0.040302,0.00591303,0.919406,0,0.014480,keep
125,4,0.044736,0.00561786,0.916358,0,0.014410,keep
126,4,0.043314,0.00540573,0.922181,0,0.014535,keep
127,4,0.065039,0.00516552,0.926794,0,0.014637,keep
128,4,0.059844,0.00496760,0.909756,0,0.014983,keep
129,4,0.058609,0.00475631,0.889514,0,0.015303,keep
130,4,0.063187,0.00455322,0.881081,0,0.014577,keep
131,4,0.059313,0.00442391,0.912207,0,0.014749,keep
132,4,0.089152,0.00415158,0.871844,0,0.014785,keep
133,4,0.070116,0.00398418,0.872633,0,0.014635,keep
134,4,0.062599,0.00383641,0.892532,0,0.014816,keep
135,4,0.086110,0.00365935,0.814840,0,0.015048,keep
136,4,0.080136,0.00352887,0.859682,0,0.014761,keep
137,4,0.129351,0.00333752,0.894692,0,0.015154,keep
138,4,0.150371,0.00321291,0.880471,0,0.015027,keep
139,4,0.186108,0.00304733,0.902683,0,0.014628,zoom_out_to_2
140,2,0.248688,0.00227300,0.843377,0,0.014926,keep
141,2,0.303884,0.00153502,0.711068,0,0.014856,keep
142,2,0.525552,0.00038509,0.109697,0,0.015085,keep
143,2,0.465511,0.00007479,0.425000,1,0.015432,zoom_out_to_1
144,1,0.519758,0.00007077,0.361250,2,0.013560,keep
145,1,0.554940,0.00006675,0.307062,3,0.013560,keep
146,1,0.576776,0.00006272,0.261003,4,0.014075,keep
147,1,0.592505,0.00005870,0.221853,5,0.014326,keep
148,1,0.604988,0.00005468,0.188575,6,0.014310,keep
149,1,0.615449,0.00005065,0.160289,7,0.013816,keep
150,1,0.624494,0.00004663,0.136245,8,0.013995,keep
151,1,0.632480,0.00004261,0.115808,9,0.013819,keep
152,1,0.639668,0.00003859,0.098437,10,0.013659,keep
153,1,0.646278,0.00003456,0.083672,11,0.013710,keep
154,1,0.652518,0.00003054,0.071121,12,0.013843,keep
155,1,0.658610,0.00002652,0.060453,13,0.013742,keep
